autovalor,correlacion
18.136696,0.045692
17.055171,0.011443
13.306122,0.078413
10.921068,0.058283
9.777241,0.085078
6.996197,0.010429
6.515545,0.079173
6.331592,0.014177
5.618034,0.0
5.378595,0.244844
4.580793,0.079869
4.480008,0.044972
4.275877,0.010777
3.472187,0.000321
3.381966,0.0
3.376154,0.065159
3.242067,0.086678
3.013963,0.009556
2.749157,0.161363
2.487092,0.117379
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
1.95505,0.011172
1.826055,0.068783
1.761899,0.027133
1.599283,0.05576
1.259404,0.000408
1.125011,0.333307
0.909248,0.265918
0.468525,0.814727
nan,0
