test,tipo,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
0,D,0.0,0.0,0.0,0.0,-972.0,987.0
0,H,1.5435259199162273e-06,6.511250492147484e-07,3.6208431808404384e-09,3.073850507462339e-09,-988.0,942.9999999999999
0,S,7.044542741141413e-06,8.736938070796896e-07,1.6293961380142719e-07,3.725290298461914e-08,11670.999656688542,20493009.603950266
1,D,0.0,0.0,0.0,0.0,-884.0,819.0
1,H,5.8712479322764466e-12,6.508044103625821e-12,2.2524204723595176e-12,3.410605131648481e-13,-695.9999999999998,993.0
1,S,6.925142071878554e-05,9.528987732210226e-06,1.9919980331906117e-07,5.587935447692871e-08,1818.7241711228974,22578805.44342309
2,D,1.7425803949999998e-06,1.7425803949999998e-06,0.0,0.0,-956.0,981.0
2,H,6.4930283372177655e-12,6.984191003311935e-12,2.0392576516314875e-12,3.410605131648481e-13,-951.9999999999999,861.0000000000001
2,S,1.3846019463414905e-05,1.83640213435865e-06,1.447233444196172e-07,4.284083843231201e-08,5712.315463350706,21051197.159343053
3,D,0.0,0.0,0.0,0.0,-996.0,833.0
3,H,1.149169648329007e-11,7.784772826369135e-12,2.2026824808563106e-12,5.684341886080801e-13,-977.9999999999999,913.0
3,S,0.035630704726259524,0.004429639845748956,1.4299582695720403e-07,4.842877388000488e-08,1.593061289109236,24013758.477628995
4,D,0.0,0.0,0.0,0.0,-994.0,877.0
4,H,6.079226011479477e-11,2.620681449627682e-11,2.2168933355715126e-12,3.410605131648481e-13,-843.9999999999999,972.9999999999999
4,S,8.825502035847421e-06,1.1066986189689487e-06,1.3507087714970112e-07,2.60770320892334e-08,14552.447323701663,24251395.19116012
5,D,0.0,0.0,0.0,0.0,-916.0,977.0
5,H,2.231338399640015e-11,1.0462698415980576e-11,2.8332891588433995e-12,5.684341886080801e-13,-940.0,977.0000000000006
5,S,2.4818659767333884e-06,4.5702108764089644e-07,1.7152706277556717e-07,4.842877388000488e-08,23991.864543534124,26005515.62017555
6,D,0.0,0.0,0.0,0.0,-850.0,967.0
6,H,7.085887432367599e-12,6.4994676307605914e-12,2.142286348316702e-12,4.547473508864641e-13,-954.0000000000005,889.0
6,S,3.049052548931286e-05,4.717605577297945e-06,1.4986972018959932e-07,3.725290298461914e-08,1767.4700733971274,24679962.499537088
7,D,0.0,0.0,0.0,0.0,-780.0,851.0
7,H,6.3873420441673545e-12,6.003372278462482e-12,2.1032064978498966e-12,3.410605131648481e-13,-888.0000000000002,944.9999999999999
7,S,3.211239545208855e-05,4.599555381901155e-06,1.7187767298310064e-07,2.7939677238464355e-08,3473.8175168083358,21992762.339491475
8,D,0.0,0.0,0.0,0.0,-926.0,965.0
8,H,7.52109485802066e-12,6.374456518187799e-12,3.097966327914037e-12,6.821210263296962e-13,-902.0000000000007,976.9999999999999
8,S,0.00012637936527859495,1.456504000429959e-05,1.3025362477492308e-07,3.166496753692627e-08,665.7116140957631,23516079.463622537
9,D,0.0,0.0,0.0,0.0,-954.0,549.0
9,H,7.733830642564499e-08,2.5952383797545053e-08,2.7284841053187847e-12,5.684341886080801e-13,-942.0000000000002,910.9999999999995
9,S,5.206763944443082e-07,1.8286755221197382e-07,2.1366577129811049e-07,5.960464477539063e-08,111836.43929841412,26924693.210938655
10,D,0.0,0.0,0.0,0.0,-980.0,871.0
10,H,7.654477746088517e-11,1.6028234295362154e-11,2.0117241206207837e-12,3.410605131648481e-13,-836.0,951.0000000000001
10,S,1.0441595847510143e-05,1.3495133543983684e-06,1.093303581001237e-07,3.3527612686157227e-08,7495.0900042478515,18864924.972003084
11,D,0.0,0.0,0.0,0.0,-992.0,887.0
11,H,3.028732820098412e-11,1.4889645072457824e-11,1.5898393712632242e-12,4.547473508864641e-13,-936.0,945.0
11,S,7.554222065664362e-07,2.2525568965647835e-07,1.8022547010332346e-07,3.725290298461914e-08,71319.88262675244,19136716.06056131
12,D,0.0,0.0,0.0,0.0,-970.0,935.0
12,H,1.1908973807095435e-11,6.619482739722571e-12,2.220446049250313e-12,5.684341886080801e-13,-983.9999999999998,964.9999999999994
12,S,4.561695857674408e-05,7.087448636866611e-06,1.4375814316736069e-07,3.3527612686157227e-08,894.6268080567281,24148583.965902574
13,D,0.0,0.0,0.0,0.0,-996.0,941.0
13,H,7.909672916639465e-12,8.04756261629791e-12,2.5295321393059567e-12,3.410605131648481e-13,-971.9999999999999,964.9999999999997
13,S,3.781961072668594e-05,4.112387728127942e-06,1.4170109352562577e-07,5.774199962615967e-08,5355.4681407171,28481783.361767247
14,D,0.0,0.0,0.0,0.0,-848.0,947.0
14,H,1.932088690426159e-11,1.0629962188257736e-11,1.9559909247846008e-12,5.684341886080801e-13,-835.9999999999999,973.0
14,S,3.028436822205549e-06,6.353293429128826e-07,1.7398997442796826e-07,5.21540641784668e-08,51222.1973378764,24355283.20025264
15,D,0.0,0.0,0.0,0.0,-934.0,953.0
15,H,5.863753926860227e-12,6.203537683546756e-12,1.1119993814645568e-12,2.2737367544323206e-13,-928.0000000000002,966.9999999999999
15,S,4.472157058899029e-06,7.048649877106072e-07,2.371416485402733e-07,6.705522537231445e-08,19723.014973851066,24600070.861669112
16,D,0.0,0.0,0.0,0.0,-550.0,813.0
