iter,error_v1,error_v2
0,0.3899989956631511,0.45727135636074756
2,0.22626475268333945,0.3346449793466655
4,0.1180874229889568,0.2653481103488715
6,0.06234376627769955,0.21094484621117315
8,0.03473375294646419,0.16421896205836028
10,0.020359652421612084,0.12415125415585404
12,0.012396565881312771,0.09102644317099928
14,0.007749195058765368,0.06490429811633458
16,0.0049296681415247345,0.045221194121688235
18,0.0031719275828259175,0.030948443306829
20,0.002055849211543448,0.020903168244261083
22,0.001338624698348445,0.013986866991184455
24,0.0008741389367332708,0.009298537780063842
26,0.0005718524494464639,0.006154529693892741
28,0.00037451818806877313,0.004061522320020217
30,0.00024544953741290065,0.0026750099320604903
32,0.00016092997036620815,0.0017595169602755423
34,0.000105542129727354,0.001156341003002881
36,6.922851264024033e-05,0.0007595053447959632
38,4.541373886346456e-05,0.000498669520424988
40,2.9793116748777493e-05,0.00032733142875462917
42,1.954613022525642e-05,0.000214828659973465
44,1.2823763971159252e-05,0.0001409777327538997
46,8.413491666470208e-06,9.250782844172356e-05
48,5.520020485150212e-06,6.0699699007793484e-05
50,3.6216571777103468e-06,3.982736000485154e-05
52,2.3761581207093485e-06,2.6131715749277973e-05
54,1.5589929562853655e-06,1.714544270181584e-05
56,1.022853560517234e-06,1.1249307492189331e-05
58,6.710935511744509e-07,7.38074922712606e-06
60,4.403042186407191e-07,4.8425433971655e-06
62,2.888834977898824e-07,3.1772072857094713e-06
64,1.8953642455521447e-07,2.084571969485083e-06
66,1.2435483354167332e-07,1.367690368292429e-06
68,8.15892009509156e-08,8.973428125003124e-07
70,5.3530672339263674e-08,5.887471195009653e-07
72,3.512147350726025e-08,3.862772002261039e-07
74,2.3043198682515253e-08,2.5343656395726555e-07
76,1.5118642338052268e-08,1.6627976950900347e-07
78,9.919341126263248e-09,1.0909617387255821e-07
80,6.508079852807214e-09,7.157800707702222e-08
82,4.269951059399091e-09,4.6962333577482696e-08
84,2.8015150199678374e-09,3.081198851617728e-08
86,1.838073915294558e-09,2.0215746188156913e-08
88,1.2059606646630527e-09,1.3263551146280861e-08
90,7.912306365653876e-10,8.70221628090917e-09
92,5.191265195492178e-10,5.709524186769954e-09
94,3.4059888243120895e-10,3.7460188284654805e-09
96,2.2346680061957613e-10,2.457762882102088e-09
98,1.4661671876581295e-10,1.6125383250908953e-09
